ID_Pergunta,Consulta_SQL,Modelo
11,"SELECT COUNT(*) FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND STATUS_OCORRENCIA_LICITACAO_ATUAL = 'Aberta' AND VALOR_ESTIMADO > 1000000.000",mistral-saba-24b
12,"SELECT COUNT(*) FROM LICON_DEV.dbo.LICITACAO L JOIN LICON_DEV.dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE E.NOME = 'TRIBUNAL DE JUSTIÇA' AND L.ANO_LICITACAO = 2024;",mistral-saba-24b
13,"SELECT LICITACAO.NUMERO_LICITACAO, LICITACAO.OBJETO_LICITACAO, LICITACAO.VALOR_ADJUDICADO FROM LICON_DEV.dbo.LICITACAO LICITACAO JOIN LICON_DEV.dbo.ENTIDADE ENT ON LICITACAO.ID_ENTIDADE = ENT.ID_ENTIDADE WHERE ENT.NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE' AND LICITACAO.ANO_LICITACAO = 2023 ORDER BY LICITACAO.VALOR_ADJUDICADO DESC FETCH FIRST 1 ROW WITH TIES;",mistral-saba-24b
14,"SELECT COUNT(*) FROM dbo.LICITACAO WHERE VALOR_ESTIMADO >500000 AND VALOR_ESTIMADO <1000000 AND ANO_LICITACAO = 2023",mistral-saba-24b
15,"SELECT e.NOME FROM dbo.ENTIDADE e JOIN dbo.LICITACAO l ON e.ID_ENTIDADE = l.ID_ENTIDADE WHERE l.DATA_CADASTRO_PUBLICACAO = (SELECT MAX(DATA_CADASTRO_PUBLICACAO) FROM dbo.LICITACAO)",mistral-saba-24b
16,"SELECT COUNT(*) FROM LIÇAO;",mistral-saba-24b
17,"SELECT TOP 3 E.NOME, SUM(L.VALOR_ADJUDICADO) AS VALOR_TOTAL_ADJUDICADO FROM LICON_DEV.dbo.LICITACAO L JOIN LICON_DEV.dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE L.DATA_CADASTRO_PUBLICACAO >= DATEADD(YEAR, -5, GETDATE()) GROUP BY E.NOME ORDER BY VALOR_TOTAL_ADJUDICADO DESC;",mistral-saba-24b
18,"SELECT COUNT(*) AS TotalLicitacoesAcimaDaMedia FROM dbo.licitacao WHERE VALOR_ESTIMADO > (SELECT AVG(VALOR_ESTIMADO) FROM dbo.licitacao l2 WHERE l2.ANO_LICITACAO = dbo.licitacao.ANO_LICITACAO)",mistral-saba-24b
19,"SELECT FASE, COUNT(*) AS QTD_LICITACOES FROM dbo.LICITACAO GROUP BY FASE;",mistral-saba-24b
20,"SELECT DATEPART(MONTH, DATA_ABERTURA) AS Mes, COUNT(*) AS Total_Licitacoes FROM dbo.LICITACAO WHERE DATA_ABERTURA >= DATEADD(MONTH, -6, GETDATE()) GROUP BY DATEPART(MONTH, DATA_ABERTURA)",mistral-saba-24b
21,"SELECT E.NOME AS Entidade FROM LICON_DEV.dbo.LICITACAO L JOIN LICON_DEV.dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE GROUP BY E.NOME ORDER BY COUNT(L.ID_ENTIDADE) DESC LIMIT 1;",mistral-saba-24b
22,"SELECT A.INICIO, count(*) QTD FROM LICITACAO A, (select 2020 as INICIO) B WHERE A.ANO_LICITACAO >= B.INICIO GROUP BY INICIO",mistral-saba-24b
23,"SELECT TOP 1 E.NOME FROM dbo.ENTIDADE E JOIN dbo.LICITACAO L ON E.ID_ENTIDADE=L.ID_ENTIDADE GROUP BY E.NOME ORDER BY COUNT(L.NUMERO_LICITACAO) ASC",mistral-saba-24b
24,";SELECT e.NOME FROM LICON_DEV.dbo.LICITACAO l JOIN LICON_DEV.dbo.ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE WHERE l.ANO_LICITACAO = 2023 GROUP BY e.NOME HAVING COUNT(*) > 100",mistral-saba-24b
