ID_Pergunta,Consulta_SQL,Modelo
11,SELECT COUNT(NUMERO_LICITACAO) FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000.00,deepseek-r1-distill-llama-70b
12,SELECT COUNT(*) FROM LICITACAO L INNER JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE E.NOME = 'TRIBUNAL DE JUSTIÇA' AND L.ANO_LICITACAO = 2024,deepseek-r1-distill-llama-70b
13,SELECT TOP 1 * FROM LICITACAO AS L INNER JOIN ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE E.NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE' AND L.ANO_LICITACAO = 2023 ORDER BY L.VALOR_ADJUDICADO DESC,deepseek-r1-distill-llama-70b
14,SELECT COUNT(*) FROM LICITACAO WHERE VALOR_ESTIMADO > 500000 AND VALOR_ESTIMADO < 1000000 AND ANO_LICITACAO = 2023,deepseek-r1-distill-llama-70b
15,SELECT TOP 1 E.NOME FROM LICITACAO L INNER JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE ORDER BY L.DATA_CADASTRO_PUBLICACAO DESC,deepseek-r1-distill-llama-70b
16,SELECT COUNT(*) FROM LICITACAO AS L JOIN MODALIDADE_LICITACAO AS M ON L.ID_MODALIDADE_LICITACAO_NOVA = M.ID_MODALIDADE_LICITACAO WHERE M.NOME = 'Concurso',deepseek-r1-distill-llama-70b
17,"SELECT TOP 3 E.NOME AS NOME_ENTIDADE, COUNT(L.NUMERO_LICITACAO) AS QUANTIDADE_LICITACOES, SUM(L.VALOR_ADJUDICADO) AS VALOR_TOTAL_ADJUDICADO FROM LICITACAO L INNER JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE L.ANO_LICITACAO BETWEEN 2018 AND 2022 GROUP BY E.NOME ORDER BY QUANTIDADE_LICITACOES DESC",deepseek-r1-distill-llama-70b
18,SELECT COUNT(*) FROM LICITACAO L WHERE L.VALOR_ESTIMADO > (SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = L.ANO_LICITACAO),deepseek-r1-distill-llama-70b
19,"SELECT FASE, COUNT(*) AS QUANTIDADE FROM LICITACAO GROUP BY FASE ORDER BY QUANTIDADE DESC",deepseek-r1-distill-llama-70b
20,"SELECT YEAR(DATA_ABERTURA) AS Ano, MONTH(DATA_ABERTURA) AS Mes, COUNT(NUMERO_LICITACAO) AS Quantidade FROM LICITACAO WHERE DATA_ABERTURA >= DATEADD(month, -6, GETDATE()) GROUP BY YEAR(DATA_ABERTURA), MONTH(DATA_ABERTURA) ORDER BY Ano, Mes",deepseek-r1-distill-llama-70b
21,"SELECT TOP 1 E.NOME, COUNT(L.ID_ENTIDADE) AS QUANTIDADE FROM LICITACAO L INNER JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE GROUP BY E.NOME ORDER BY QUANTIDADE DESC",deepseek-r1-distill-llama-70b
22,"SELECT ANO_LICITACAO, COUNT(*) AS QUANTIDADE_LICITACOES FROM LICITACAO WHERE ANO_LICITACAO >= 2020 GROUP BY ANO_LICITACAO",deepseek-r1-distill-llama-70b
23,"SELECT TOP 1 E.ID_ENTIDADE, E.NOME, COUNT(L.ID_ENTIDADE) AS QTD_LICITACOES FROM ENTIDADE E INNER JOIN LICITACAO L ON E.ID_ENTIDADE = L.ID_ENTIDADE GROUP BY E.ID_ENTIDADE, E.NOME ORDER BY QTD_LICITACOES ASC",deepseek-r1-distill-llama-70b
24,"```sql
SELECT E.NOME AS NOME_ENTIDADE, COUNT(L.ID_ENTIDADE) AS QUANTIDADE_LICITACOES FROM LICITACAO L INNER JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE L.ANO_LICITACAO = 2023 GROUP BY E.NOME ORDER BY QUANTIDADE_LICITACOES DESC HAVING COUNT(L.ID_ENTIDADE) > 100
```",deepseek-r1-distill-llama-70b
