ID_Pergunta,Consulta_SQL,Resultado,Modelo
11,SELECT COUNT(*) FROM LICON_DEV.dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000,Correto,gpt-4
12,SELECT COUNT(*) FROM dbo.LICITACAO AS L JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE E.NOME = 'TRIBUNAL DE JUSTIÇA' AND L.ANO_LICITACAO = 2024,Correto,gpt-4
13,"SELECT TOP 1 L.NUMERO_LICITACAO, L.VALOR_ADJUDICADO FROM dbo.LICITACAO AS L INNER JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE L.ANO_LICITACAO = 2023 AND E.NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE' ORDER BY L.VALOR_ADJUDICADO DESC",Correto,gpt-4
14,SELECT COUNT(*) FROM LICON_DEV.dbo.LICITACAO WHERE ANO_LICITACAO = 2023 AND VALOR_ESTIMADO > 500000 AND VALOR_ESTIMADO < 1000000,Correto,gpt-4
15,SELECT TOP 1 E.NOME FROM dbo.LICITACAO AS L JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE ORDER BY L.DATA_CADASTRO_PUBLICACAO DESC,Correto,gpt-4
16,SELECT COUNT(*) FROM dbo.LICITACAO AS L JOIN dbo.MODALIDADE_LICITACAO AS M ON L.ID_MODALIDADE_LICITACAO_NOVA = M.ID_MODALIDADE_LICITACAO WHERE M.NOME = 'Concurso',Correto,gpt-4
17,"SELECT TOP 3 E.NOME AS ENTIDADE, COUNT(L.ID_ENTIDADE) AS TOTAL_LICITACOES, SUM(L.VALOR_ADJUDICADO) AS VALOR_TOTAL_ADJUDICADO FROM dbo.LICITACAO L INNER JOIN dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE L.ANO_LICITACAO >= YEAR(GETDATE()) - 5 GROUP BY E.NOME ORDER BY TOTAL_LICITACOES DESC, VALOR_TOTAL_ADJUDICADO DESC;",Correto,gpt-4
18,SELECT COUNT(*) FROM dbo.LICITACAO AS L1 WHERE L1.VALOR_ESTIMADO > (SELECT AVG(L2.VALOR_ESTIMADO) FROM dbo.LICITACAO AS L2 WHERE L1.ANO_LICITACAO = L2.ANO_LICITACAO),Correto,gpt-4
19,"SELECT FASE, COUNT(*) AS QUANTIDADE FROM dbo.LICITACAO GROUP BY FASE",Correto,gpt-4
20,"SELECT MONTH(DATA_ABERTURA) AS Mes, COUNT(*) AS Quantidade_Licitacoes FROM dbo.LICITACAO WHERE DATA_ABERTURA >= DATEADD(MONTH, -6, GETDATE()) GROUP BY MONTH(DATA_ABERTURA)",Correto,gpt-4
21,"SELECT TOP 1 E.NOME, COUNT(L.ID_ENTIDADE) AS QUANTIDADE_LICITACOES FROM dbo.LICITACAO L INNER JOIN dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE GROUP BY E.NOME ORDER BY QUANTIDADE_LICITACOES DESC",Correto,gpt-4
22,"SELECT ANO_LICITACAO, COUNT(*) AS QUANTIDADE_LICITACOES FROM dbo.LICITACAO WHERE ANO_LICITACAO >= 2020 GROUP BY ANO_LICITACAO;",Correto,gpt-4
23,"SELECT TOP 1 E.NOME, COUNT(L.ID_ENTIDADE) AS QUANTIDADE_LICITACOES FROM dbo.LICITACAO AS L JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE GROUP BY E.NOME ORDER BY QUANTIDADE_LICITACOES ASC",Correto,gpt-4
24,"SELECT E.NOME, COUNT(L.ID_ENTIDADE) AS QUANTIDADE_LICITACOES FROM dbo.LICITACAO AS L JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE L.ANO_LICITACAO = 2023 GROUP BY E.NOME HAVING COUNT(L.ID_ENTIDADE) > 100",Correto,gpt-4
